Year,Unit,Value,"Food production 
in billions of hg","Food production in 
billions of pounds",Catering Capacity in billions of people
1961,hg/ha,93453,140179.5,30904.28968,15.48311106
1962,hg/ha,94179,141268.5,31144.37309,15.60339333
1963,hg/ha,95289,142933.5,31511.44275,15.78729597
1964,hg/ha,97564,146346,32263.77022,16.16421354
1965,hg/ha,99493,149239.5,32901.67778,16.4838065
1966,hg/ha,102568,153852,33918.55996,16.99326652
1967,hg/ha,105748,158622,34970.16495,17.52012272
1968,hg/ha,108703,163054.5,35947.36393,18.00970137
1969,hg/ha,109348,164022,36160.66117,18.11656371
1970,hg/ha,110418,165627,36514.5031,18.29383923
1971,hg/ha,113656,170484,37585.28831,18.83030476
1972,hg/ha,112133,168199.5,37081.64227,18.57797709
1973,hg/ha,115999,173998.5,38360.10293,19.21848844
1974,hg/ha,117963,176944.5,39009.58475,19.54388014
1975,hg/ha,118713,178069.5,39257.6048,19.66813868
1976,hg/ha,120114,180171,39720.90624,19.90025363
1977,hg/ha,123436,185154,40819.4697,20.45063612
1978,hg/ha,125811,188716.5,41604.8665,20.8441215
1979,hg/ha,127239,190858.5,42077.09667,21.08070975
1980,hg/ha,125406,188109,41470.93568,20.77702188
1981,hg/ha,128706,193059,42562.22388,21.32375946
1982,hg/ha,131696,197544,43550.99712,21.81913684
1983,hg/ha,132993,199489.5,43979.90646,22.03402127
1984,hg/ha,139608,209412,46167.44325,23.12998159
1985,hg/ha,135112,202668,44680.64576,22.38509306
1986,hg/ha,139023,208534.5,45973.98762,23.03305993
1987,hg/ha,137862,206793,45590.05259,22.84070771
1988,hg/ha,140236,210354,46375.1187,23.23402741
1989,hg/ha,141086,211629,46656.20809,23.37485375
1990,hg/ha,145343,218014.5,48063.96986,24.08014522
1991,hg/ha,144349,216523.5,47735.26063,23.91546124
1992,hg/ha,148605,222907.5,49142.69171,24.62058703
1993,hg/ha,149164,223746,49327.54932,24.71320106
1994,hg/ha,151476,227214,50092.11244,25.09624872
1995,hg/ha,148995,223492.5,49271.66213,24.68520147
1996,hg/ha,153923,230884.5,50901.31918,25.50166291
1997,hg/ha,152267,228400.5,50353.69092,25.22730006
1998,hg/ha,151569,227353.5,50122.86693,25.11165678
1999,hg/ha,154077,231115.5,50952.24596,25.52717733
2000,hg/ha,163566,245349,54090.19557,27.09929638
2001,hg/ha,163393,245089.5,54032.98561,27.07063407
2002,hg/ha,165718,248577,54801.84775,27.45583555
2003,hg/ha,164463,246694.5,54386.82754,27.24790959
2004,hg/ha,168244,252366,55637.17926,27.87433831
2005,hg/ha,168521,252781.5,55728.78133,27.92023113
2006,hg/ha,171850,257775,56829.65964,28.47177337
2007,hg/ha,176408,264612,58336.96013,29.22693393
2008,hg/ha,180860,271290,59809.20711,29.96453262
2009,hg/ha,182336,273504,60297.31056,30.20907343
2010,hg/ha,181959,272938.5,60172.63915,30.1466128
2011,hg/ha,183266,274899,60604.85542,30.36315402
2012,hg/ha,182766,274149,60439.50872,30.28031499
2013,hg/ha,183007,274510.5,60519.20583,30.3202434
2014,hg/ha,186607,279910.5,61709.70204,30.91668439
2015,hg/ha,186006,279009,61510.95531,30.81711188
2016,hg/ha,188621,282931.5,62375.71854,31.25035999
